timestamp,economy,pillar,section_name,question_number,answer,reasoning,confidence,source_1_title,source_1_url,source_2_title,source_2_url
2025-11-04T18:38:41.169612+00:00,Norway,Legal_Frameworks,Pay,2.3,Yes,"Norwegian law prohibits gender discrimination; women may work in the same dangerous jobs as men, subject to workplace safety rules and special protections for pregnant or breastfeeding women and other vulnerable groups.",0.9,Working Environment Act (English) - Norwegian Labour Inspection Authority,https://www.arbeidstilsynet.no/en/laws-and-regulations/laws/the-working-environment-act/,Act relating to equality and a prohibition against discrimination (Equality and Anti-Discrimination Act) - Lovdata,https://lovdata.no/dokument/NLE/lov/2017-06-16-51
2025-11-04T18:38:58.616567+00:00,Norway,Legal_Frameworks,Pay,2.4.8,No,Norwegian law prohibits discrimination by sex across all sectors (Equality and Anti-Discrimination Act §6); public authorities may not lawfully restrict or prohibit women from working in particular economic sectors.,0.9,Act relating to equality and a prohibition against discrimination (Equality and Anti-Discrimination Act) - Lovdata,https://lovdata.no/dokument/NLE/lov/2017-06-16-51/%C2%A76,The Constitution of the Kingdom of Norway - Lovdata (human rights and state obligations),https://lovdata.no/dokument/NLE/lov/1814-05-17
2025-11-04T18:41:03.480405+00:00,Norway,Legal_Frameworks,Pension,5.1.1,,Norway's traditional full pension/guarantee pension is payable at age 67; alderspensjon historically taken at 67 (though reforms introduce a rising 'normert' pension age for younger cohorts).,0.7,Alderspensjon – NAV (overview),https://www.nav.no/satser/nn,Et mer sosialt og rettferdig pensjonssystem – regjeringen.no (information on pension age and reforms),https://www.regjeringen.no/no/aktuelt/et-mer-sosialt-og-rettferdig-pensjonssystem/id3018933/
2025-11-04T18:41:15.963287+00:00,Norway,Legal_Frameworks,Pension,5.1.2,,Norway's statutory/ordinary pensionable age for full old‑age pension is 67 years (flexible early draw possible from 62 with actuarial reductions).,0.9,The ordinary pensionable age in Norway (Consolidated report / Council of Europe),https://rm.coe.int/norway-consolidated-report-code-art74-2021/1680a5118c,Social Security Programs Throughout the World: Norway (SSA) – Old‑age pension age 67,https://www.ssa.gov/policy/docs/progdesc/ssptw/2018-2019/europe/norway.html
2025-11-04T18:41:48.617665+00:00,Norway,Legal_Frameworks,Pension,5.2.1,,"Norway’s Working Environment Act sets the general upper age limit at 72 years, when an employer may end employment due to age (applies regardless of gender).",0.9,Arbeidsmiljøloven § 15-13 a — Opphør av arbeidsforhold grunnet alder (Lovdata),https://lovdata.no/nav/lov/2005-06-17-62/%C2%A715-13a,"Lov om arbeidsmiljø, arbeidstid og stillingsvern mv. (arbeidsmiljøloven) — Lovdata",https://lovdata.no/dokument/NL/lov/2005-06-17-62/a
2025-11-04T18:41:57.001797+00:00,Norway,Legal_Frameworks,Pension,5.2.2,,"Under Norway's Working Environment Act, employment may be terminated on account of age at 72 (lower limits allowed only for safety/health or down to 70 in certain cases).",0.9,Working Environment Act — Section 15-13 a (Termination of employment on account of age) — Arbeidstilsynet,https://www.arbeidstilsynet.no/en/laws-and-regulations/laws/the-working-environment-act/17/section15-1/,Act relating to the working environment (Working Environment Act) — Lovdata — Section 15-13 a,https://lovdata.no/dokument/NLE/lov/2005-06-17-62/%2A
2025-11-04T18:42:07.398932+00:00,Norway,Legal_Frameworks,Pension,5.3,Yes,"Norway awards pension accruals for periods caring for young children (automatic if receiving child benefit for children under six), credited as pension rights equivalent to a specified income level (G).",0.9,Accumulation of pension rights for care work - NAV,https://www.nav.no/en/home/benefits-and-services/relatert-informasjon/accumulation-of-pension-rights-for-care-work,Child benefit (barnetrygd) - NAV,https://www.nav.no/barnetrygd/en
2025-11-04T18:42:18.040137+00:00,Norway,Legal_Frameworks,Procurement,6.1,Yes,"Norwegian law requires public authorities to carry out active, targeted gender equality efforts (Gender Equality Act §12) and procurement rules mandate promotion of human rights/social criteria in purchasing, enabling gender-responsive criteria in public procurement.",0.6,The Act relating to Gender Equality (English summary) - regjeringen.no,https://www.regjeringen.no/en/dokumenter/the-act-relating-to-gender-equality-the-/id454568/,Public Procurement and Human Rights - anskaffelser.no (guidance on socially responsible procurement),https://anskaffelser.no/en/english/public-procurement-and-human-rights
2025-11-04T19:45:43.431380+00:00,Norway,Legal_Frameworks,Work,1.1.1,No,"Norwegian law does not explicitly prohibit recruitment discrimination based on marital status; employers may ask about sivilstatus though questions about family planning (pregnancy, adoption) are prohibited. ",0.6,Spørsmål om familieplanlegging på jobbintervju – Likestillings- og diskrimineringsombudet (LDO),https://ldo.no/diskrimineringssituasjoner/sporsmal-om-familieplanlegging-pa-jobbintervju-graviditet-eller-foreldrepermisjon/,Prop. 81 L (2016–2017) – Lov om likestilling og forbud mot diskriminering (forarbeid) – Regjeringen.no,https://www.regjeringen.no/no/dokumenter/prop.-81-l-20162017/id2547420/
2025-11-04T18:37:26.505157+00:00,Norway,Legal_Frameworks,Work,1.1.3,Yes,"The Working Environment Act explicitly prohibits direct and indirect discrimination based on age, including in recruitment and all aspects of employment (advertising, selection, terms and conditions).",0.9,"Working Environment Act, Chapter 13 §13-1 — Lovdata (Protection against discrimination)",https://lovdata.no/dokument/NLE/lov/2005-06-17-62/%C2%A713-1,"Working Environment Act — Norwegian Labour Inspection Authority (overview of Section 13, scope covering recruitment)",https://www.arbeidstilsynet.no/en/laws-and-regulations/laws/the-working-environment-act/17/section15-16/
2025-11-04T18:37:38.661663+00:00,Norway,Legal_Frameworks,Work,1.3.1,Yes,Norwegian Working Environment Act (§10-2(3)) grants employees the right to flexible working hours if it can be implemented without substantial inconvenience to the employer.,1.0,Arbeidsmiljøloven § 10-2 (Lovdata),https://lovdata.no/dokument/LTI/lov/2005-06-17-62/KAPITTEL_10#%C2%A7%2010-2,Fleksibel arbeidstid — Arbeidstilsynet,https://www.arbeidstilsynet.no/arbeidstid-og-organisering/arbeidstid/fleksibel-arbeidstid/
2025-11-04T18:38:02.307308+00:00,Norway,Legal_Frameworks,Work,1.3.2,No,"Norwegian law requires employer and employee agreement for home-office; workers generally cannot unilaterally demand permanent remote work. Rules regulate obligations when home work applies, but not a statutory right to request and obtain it.",0.9,Hjemmekontor – Arbeidstilsynet (Norwegian Labour Inspection Authority),https://www.arbeidstilsynet.no/lonn-og-ansettelse/ansettelse/heimekontor/,Hjemmekontor - hva må du som arbeidsgiver tenke på? – Altinn,https://info.altinn.no/starte-og-drive/arbeidsforhold/ansettelse/hjemmekontor---hva-ma-du-som-arbeidsgiver-tenke-pa/
2025-11-04T18:42:59.796937+00:00,Norway,Policy_Instruments,Childcare,4.1,Yes,Norway publishes public data on barnehager (kindergartens) via Statistics Norway and the Directorate for Education; public datasets and municipal lists are available and aggregated by services like Barnehagelisten.,0.8,Barnehager – Statistisk sentralbyrå (SSB),https://www.ssb.no/utdanning/barnehager/statistikk/barnehager,Private barnehager – Utdanningsdirektoratet (official guidance),https://www.udir.no/utdanningslopet/private-barnehager/
2025-11-04T18:42:38.625566+00:00,Norway,Policy_Instruments,Parenthood,3.3,Yes,"Statistics Norway publishes anonymized, sex-disaggregated time‑use and unpaid care work statistics (StatBank tables and surveys) showing women’s and men’s time on unpaid care tasks.",0.9,"Time spent on different activities an average day, by sex and age (StatBank table 14320)",https://www.ssb.no/en/statbank/table/14320/,"Unpaid welfare work, Survey on living conditions (Statistics Norway)",https://www.ssb.no/en/helse/statistikker/omsarb/hvert-3-aar
2025-11-04T18:42:27.808953+00:00,Norway,Policy_Instruments,Work,2.2.2,Yes,"Norway enforces equal pay via the Equality and Anti-Discrimination Ombud and the Anti-Discrimination Tribunal, with powers to investigate, order corrective measures, impose fines for non-compliance, and permit court actions and compensation claims.",0.9,Act relating to equality and a prohibition against discrimination (Equality and Anti-Discrimination Act) - Chapter 6 (Lovdata),https://lovdata.no/dokument/NLE/lov/2017-06-16-51/KAPITTEL_6,Gender equality — The Government (regjeringen.no),https://www.regjeringen.no/en/topics/equality-and-diversity/likestilling-og-inkludering/gender-equality/id670481/
