timestamp,economy,pillar,section_name,question_number,answer,reasoning,confidence,source_1_title,source_1_url,source_2_title,source_2_url
2025-11-04T18:41:15.963287+00:00,Noruega,Marcos_Legales,Pensión,5.1.2,,La edad legal/ordinaria de jubilación por vejez completa en Noruega es 67 años (es posible anticipar el cobro desde los 62 con reducciones actuariales).,0.9,La edad ordinaria de jubilación en Noruega (informe consolidado / Consejo de Europa),https://rm.coe.int/norway-consolidated-report-code-art74-2021/1680a5118c,Programas de Seguridad Social en todo el mundo: Noruega (SSA) – Edad de jubilación por vejez 67,https://www.ssa.gov/policy/docs/progdesc/ssptw/2018-2019/europe/norway.html
2025-11-04T18:41:48.617665+00:00,Noruega,Marcos_Legales,Pensión,5.2.1,,"La Ley del Entorno de Trabajo de Noruega establece el límite máximo general de edad en 72 años, momento en el que un empleador puede poner fin al empleo por motivo de edad (se aplica independientemente del género).",0.9,Ley del Entorno de Trabajo § 15-13 a — Terminación de la relación laboral por motivo de edad (Lovdata),https://lovdata.no/nav/lov/2005-06-17-62/%C2%A715-13a,"Ley sobre el entorno de trabajo, tiempo de trabajo y protección del puesto de trabajo, etc. (arbeidsmiljøloven) — Lovdata",https://lovdata.no/dokument/NL/lov/2005-06-17-62/a
2025-11-04T18:41:57.001797+00:00,Noruega,Marcos_legales,Pensión,5.2.2,,"Según la Ley de Ambiente Laboral de Noruega, el empleo puede extinguirse por motivo de edad a los 72 años (límite inferior permitido solo por motivos de seguridad/salud o hasta los 70 años en ciertos casos).",0.9,Ley del Ambiente Laboral — Sección 15-13 a (Terminación del empleo por motivo de edad) — Arbeidstilsynet,https://www.arbeidstilsynet.no/en/laws-and-regulations/laws/the-working-environment-act/17/section15-1/,Ley relativa al ambiente laboral (Ley de Ambiente Laboral) — Lovdata — Sección 15-13 a,https://lovdata.no/dokument/NLE/lov/2005-06-17-62/%2A
2025-11-04T18:42:07.398932+00:00,Noruega,Marcos_Legales,Pensión,5.3,Sí,"Noruega otorga acumulación de derechos de pensión por periodos de cuidado de niños pequeños (automático si se recibe la prestación por hijo para niños menores de seis años), acreditados como derechos de pensión equivalentes a un nivel de ingresos especificado (G).",0.9,Acumulación de derechos de pensión por trabajo de cuidado - NAV,https://www.nav.no/en/home/benefits-and-services/relatert-informasjon/accumulation-of-pension-rights-for-care-work,Prestación por hijo (barnetrygd) - NAV,https://www.nav.no/barnetrygd/en
2025-11-04T18:42:18.040137+00:00,Noruega,Marcos_Legales,Contratación,6.1,Sí,"La legislación noruega exige que las autoridades públicas lleven a cabo esfuerzos activos y dirigidos en materia de igualdad de género (Ley de Igualdad de Género §12) y las normas de contratación obligan a promover derechos humanos/criterios sociales en las compras, lo que permite criterios sensibles al género en la contratación pública.",0.6,La Ley relativa a la Igualdad de Género (resumen en inglés) - regjeringen.no,https://www.regjeringen.no/en/dokumenter/the-act-relating-to-gender-equality-the-/id454568/,Contratación pública y derechos humanos - anskaffelser.no (guía sobre contratación socialmente responsable),https://anskaffelser.no/en/english/public-procurement-and-human-rights
2025-11-04T19:45:43.431380+00:00,Noruega,Marcos_Legales,Trabajo,1.1.1,No,"La ley noruega no prohíbe explícitamente la discriminación en la contratación por estado civil; los empleadores pueden preguntar sobre el estado civil aunque están prohibidas las preguntas sobre planificación familiar (embarazo, adopción).",0.6,Preguntas sobre planificación familiar en entrevistas de trabajo – Ombud de Igualdad y Discriminación (LDO),https://ldo.no/diskrimineringssituasjoner/sporsmal-om-familieplanlegging-pa-jobbintervju-graviditet-eller-foreldrepermisjon/,Prop. 81 L (2016–2017) – Ley sobre igualdad y prohibición de la discriminación (trabajos preparatorios) – Regjeringen.no,https://www.regjeringen.no/no/dokumenter/prop.-81-l-20162017/id2547420/
2025-11-04T18:37:26.505157+00:00,Noruega,Marcos_Legales,Trabajo,1.1.3,Sí,"La Ley sobre el Medio Ambiente de Trabajo prohíbe explícitamente la discriminación directa e indirecta por edad, incluidos el reclutamiento y todos los aspectos del empleo (publicidad, selección, condiciones y términos).",0.9,"Ley sobre el Medio Ambiente de Trabajo, Capítulo 13 §13-1 — Lovdata (Protección contra la discriminación)",https://lovdata.no/dokument/NLE/lov/2005-06-17-62/%C2%A713-1,"Ley sobre el Medio Ambiente de Trabajo — Autoridad Noruega de Inspección Laboral (visión general de la Sección 13, ámbito que cubre el reclutamiento)",https://www.arbeidstilsynet.no/en/laws-and-regulations/laws/the-working-environment-act/17/section15-16/
2025-11-04T18:37:38.661663+00:00,Noruega,Marcos legales,Trabajo,1.3.1,Sí,La Ley noruega sobre el entorno laboral (Arbeidsmiljøloven) (§ 10-2(3)) otorga a los empleados el derecho a horarios de trabajo flexibles si puede aplicarse sin causar inconvenientes sustanciales al empleador.,1.0,Ley del entorno laboral (Arbeidsmiljøloven) § 10-2 (Lovdata),https://lovdata.no/dokument/LTI/lov/2005-06-17-62/KAPITTEL_10#%C2%A7%2010-2,Horario flexible — Arbeidstilsynet,https://www.arbeidstilsynet.no/arbeidstid-og-organisering/arbeidstid/fleksibel-arbeidstid/
2025-11-04T18:38:02.307308+00:00,Noruega,Marcos_legales,Trabajo,1.3.2,No,"La legislación noruega exige un acuerdo entre el empleador y el empleado para el teletrabajo; los trabajadores, por lo general, no pueden exigir unilateralmente trabajar de forma remota de manera permanente. Las normas regulan las obligaciones cuando se realiza trabajo en casa, pero no existe un derecho legal a solicitarlo y obtenerlo.",0.9,Oficina en casa – Arbeidstilsynet (Autoridad Noruega de Inspección Laboral),https://www.arbeidstilsynet.no/lonn-og-ansettelse/ansettelse/heimekontor/,Teletrabajo - ¿qué debe tener en cuenta como empleador? – Altinn,https://info.altinn.no/starte-og-drive/arbeidsforhold/ansettelse/hjemmekontor---hva-ma-du-som-arbeidsgiver-tenke-pa/
2025-11-04T18:42:59.796937+00:00,Noruega,Instrumentos_de_política,Cuidado infantil,4.1,Sí,Noruega publica datos públicos sobre barnehager (guarderías) a través de Statistics Norway (Oficina Central de Estadísticas de Noruega) y la Dirección de Educación (Utdanningsdirektoratet); conjuntos de datos públicos y listados municipales están disponibles y se agregan mediante servicios como Barnehagelisten.,0.8,Guarderías – Oficina Central de Estadísticas de Noruega (SSB),https://www.ssb.no/utdanning/barnehager/statistikk/barnehager,Guarderías privadas – Dirección de Educación (orientación oficial),https://www.udir.no/utdanningslopet/private-barnehager/
2025-11-04T18:42:38.625566+00:00,Noruega,Instrumentos de política,Parentalidad,3.3,Sí,"Statistics Norway publica estadísticas anonimizadas, desagregadas por sexo, sobre uso del tiempo y trabajo de cuidados no remunerado (tablas y encuestas de StatBank) que muestran el tiempo que dedican mujeres y hombres a tareas de cuidados no remuneradas.",0.9,"Tiempo dedicado a diferentes actividades en un día promedio, por sexo y edad (tabla StatBank 14320)",https://www.ssb.no/en/statbank/table/14320/,"Trabajo de bienestar no remunerado, Encuesta sobre condiciones de vida (Statistics Norway)",https://www.ssb.no/en/helse/statistikker/omsarb/hvert-3-aar
2025-11-04T18:42:27.808953+00:00,Noruega,Policy_Instruments,Trabajo,2.2.2,Sí,"Noruega hace cumplir la igualdad salarial a través del Ombud de Igualdad y Antidiscriminación y del Tribunal de Antidiscriminación, con facultades para investigar, ordenar medidas correctivas, imponer multas por incumplimiento y permitir acciones judiciales y reclamaciones de indemnización.",0.9,Ley relativa a la igualdad y a la prohibición de la discriminación (Ley de Igualdad y Antidiscriminación) - Capítulo 6 (Lovdata),https://lovdata.no/dokument/NLE/lov/2017-06-16-51/KAPITTEL_6,Igualdad de género — El Gobierno (regjeringen.no),https://www.regjeringen.no/en/topics/equality-and-diversity/likestilling-og-inkludering/gender-equality/id670481/
